ENGINE(CC),count
1200.0,386
1197.0,142
1500.0,126
800.0,121
1600.0,116
1000.0,104
2000.0,78
1100.0,55
1086.0,52
2200.0,38
1300.0,37
999.0,33
1400.0,31
2500.0,31
998.0,29
2523.0,28
1198.0,26
1598.0,25
1248.0,24
1498.0,23
3000.0,19
2179.0,19
1493.0,18
1499.0,17
814.0,16
796.0,16
2956.0,16
1199.0,14
2800.0,14
1497.0,14
1591.0,13
1196.0,13
1061.0,11
1461.0,11
1396.0,10
2755.0,10
3200.0,9
1995.0,9
1194.0,8
1997.0,8
1250.0,8
2600.0,8
702.0,7
1462.0,7
2900.0,6
1948.0,6
2982.0,6
1496.0,6
1405.0,6
1399.0,6
1999.0,6
2362.0,5
1800.0,5
909.0,5
1596.0,5
1998.0,5
2300.0,4
2498.0,4
798.0,4
1299.0,4
1991.0,4
1990.0,4
2488.0,3
1296.0,3
1096.0,3
1582.0,3
1343.0,3
2609.0,3
2400.0,3
2184.0,3
3500.0,3
993.0,3
1597.0,3
2497.0,3
700.0,3
1080.0,2
1996.0,2
2994.0,2
1590.0,2
1586.0,2
2100.0,2
1599.0,2
625.0,2
2499.0,2
1490.0,2
1173.0,2
1495.0,2
2700.0,2
1195.0,2
1298.0,2
1395.0,2
4200.0,2
2197.0,1
2199.0,1
4600.0,1
2189.0,1
2188.0,1
2186.0,1
2198.0,1
2493.0,1
4500.0,1
2720.0,1
2998.0,1
2985.0,1
2967.0,1
3342.0,1
3362.0,1
2825.0,1
2770.0,1
3800.0,1
2353.0,1
3956.0,1
2525.0,1
2170.0,1
2496.0,1
2495.0,1
2485.0,1
2398.0,1
2178.0,1
624.0,1
2163.0,1
1247.0,1
1190.0,1
1186.0,1
1166.0,1
1158.0,1
1099.0,1
1098.0,1
1085.0,1
1060.0,1
997.0,1
996.0,1
986.0,1
900.0,1
899.0,1
799.0,1
797.0,1
793.0,1
768.0,1
720.0,1
710.0,1
709.0,1
708.0,1
699.0,1
660.0,1
1193.0,1
1290.0,1
2109.0,1
1323.0,1
1992.0,1
1984.0,1
1978.0,1
1976.0,1
1950.0,1
1900.0,1
1798.0,1
1796.0,1
1659.0,1
1594.0,1
1593.0,1
1468.0,1
1463.0,1
1450.0,1
1448.0,1
1410.0,1
1390.0,1
1388.0,1
1373.0,1
1368.0,1
1355.0,1
1330.0,1
1328.0,1
6000.0,1
