,PRICE_NEW,BRANDNAME,KM_INT,FUEL,BODY,GEARBOX,DRIVE,COLOR,AGE,ENGINERANGE
0,1200000,Volkswagen,96000.0,Petrol,Hatchback,Manual,2WD,Other Colors,57,1001-1500(cc)
1,1992000,Volkswagen,75000.0,Petrol,Hatchback,Manual,2WD,White,55,1001-1500(cc)
2,1800000,Volkswagen,70000.0,Petrol,Hatchback,Manual,2WD,Blue,53,1001-1500(cc)
3,6500000,Volkswagen,78000.0,Petrol,Van,Manual,2WD,Other Colors,44,1501-2000(cc)
4,2500000,Volkswagen,98000.0,Petrol,Hatchback,Manual,2WD,Other Colors,42,1001-1500(cc)
5,2700000,Volkswagen,46000.0,Petrol,Hatchback,Manual,2WD,Other Colors,13,1001-1500(cc)
9,3200000,Volkswagen,40000.0,Petrol,Hatchback,Manual,2WD,Red,13,1501-2000(cc)
10,7100000,Volkswagen,88090.0,Diesel,SUV,Manual,4WD,Silver,13,2901-above(cc)
11,3550000,Volkswagen,85000.0,Petrol,SUV,Automatic,4WD,Silver,13,1501-2000(cc)
12,3100000,Volkswagen,53000.0,Petrol,SUV,Manual,4WD,Silver,13,1501-2000(cc)
13,3500000,Volkswagen,75000.0,Petrol,SUV,Automatic,4WD,Black,12,1501-2000(cc)
14,1550000,Volkswagen,62000.0,Petrol,Sedan,Manual,2WD,Black,12,1501-2000(cc)
15,1475000,Volkswagen,55708.0,Petrol,Hatchback,Manual,2WD,Gray,12,1501-2000(cc)
16,1850000,Volkswagen,73000.0,Diesel,Sedan,Manual,2WD,Silver,12,1501-2000(cc)
17,3200000,Volkswagen,63000.0,Petrol,SUV,Manual,4WD,Silver,12,1501-2000(cc)
18,1460000,Volkswagen,69500.0,Petrol,Hatchback,Manual,2WD,White,12,1501-2000(cc)
19,1400000,Volkswagen,58000.0,Petrol,Hatchback,Manual,2WD,Blue,11,1001-1500(cc)
20,1450000,Volkswagen,69900.0,Petrol,Hatchback,Manual,2WD,Gray,11,1501-2000(cc)
22,1665000,Volkswagen,51000.0,Diesel,Sedan,Manual,2WD,Maroon,11,1501-2000(cc)
23,1850000,Volkswagen,70000.0,Diesel,Sedan,Manual,2WD,Maroon,11,1501-2000(cc)
24,1450000,Volkswagen,47000.0,Petrol,Hatchback,Manual,2WD,Red,11,1001-1500(cc)
26,1950000,Volkswagen,67000.0,Petrol,Sedan,Manual,2WD,Silver,11,1501-2000(cc)
27,1475000,Volkswagen,30000.0,Petrol,Sedan,Manual,2WD,Silver,11,1501-2000(cc)
28,1550000,Volkswagen,42000.0,Petrol,Hatchback,Manual,2WD,White,11,1501-2000(cc)
29,1900000,Volkswagen,51000.0,Petrol,Hatchback,Manual,2WD,Black,10,1501-2000(cc)
30,1900000,Volkswagen,34000.0,Petrol,Hatchback,Manual,2WD,Blue,10,1501-2000(cc)
