const,MAKEYEAR,FUEL,GEARBOX,DRIVE,ENGINE(CC),KM_INT,Ford,Hyundai,Kia,Mahindra,Maruti Suzuki,Other Brand,Tata,Toyota,Hatchback,Pickup,SUV,Sedan,Van
1.0,1970.0,1,1,0,1300.0,70000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,1979.0,1,1,0,1600.0,78000.0,False,False,False,False,False,True,False,False,False,False,False,False,True
1.0,1980.0,1,1,0,1300.0,98000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2010.0,1,1,0,1395.0,46000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2010.0,1,1,0,1600.0,40000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2010.0,0,1,1,2967.0,88090.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2010.0,1,0,1,2000.0,85000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2010.0,1,1,1,2000.0,53000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2011.0,1,0,1,2000.0,75000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2011.0,1,1,0,1600.0,62000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2011.0,1,1,0,1600.0,55708.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2011.0,0,1,0,1600.0,73000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2011.0,1,1,1,2000.0,63000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2011.0,1,1,0,1600.0,69500.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2012.0,1,1,0,1200.0,58000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2012.0,1,1,0,1600.0,69900.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2012.0,0,1,0,1600.0,51000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2012.0,0,1,0,1600.0,70000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2012.0,1,1,0,1200.0,47000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2012.0,1,1,0,1600.0,67000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2012.0,1,1,0,1598.0,30000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2012.0,1,1,0,1597.0,42000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,1,1,0,1600.0,51000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,1,1,0,1600.0,34000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,1,1,0,1600.0,63000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,1,1,0,1600.0,57000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,0,1,0,1600.0,50000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2013.0,1,1,0,1600.0,54000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2013.0,1,1,0,1598.0,35000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2013.0,1,1,0,1600.0,40000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,1,1,0,1598.0,1598.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,1,1,0,1198.0,68700.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2013.0,1,1,0,1598.0,55000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2013.0,1,0,0,1200.0,35000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,1,0,1600.0,41000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,1,1,2000.0,52000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2014.0,0,0,1,2000.0,65000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2014.0,1,0,1,1997.0,51000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2014.0,0,0,1,2000.0,46000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2014.0,1,1,0,1598.0,60000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,0,1,1197.0,62000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2014.0,1,1,0,1600.0,42000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,1,0,1600.0,41000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,1,0,1600.0,41000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,1,0,1600.0,41000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,1,0,1600.0,48000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,0,1,2000.0,52000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2014.0,1,1,0,1600.0,60000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2014.0,1,1,0,1600.0,34000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2014.0,1,1,0,1598.0,60000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2015.0,1,1,0,1198.0,75000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2015.0,1,1,0,1200.0,43300.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2015.0,1,1,0,1200.0,57000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2015.0,1,1,0,1600.0,64000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2015.0,1,1,0,1200.0,68487.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2015.0,1,0,1,1197.0,100000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2015.0,1,1,0,1600.0,34000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2015.0,1,0,1,2000.0,57000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2015.0,1,0,0,1390.0,40000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2015.0,1,0,1,1984.0,66000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2016.0,1,1,0,1600.0,49000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2016.0,1,1,0,1600.0,52000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2016.0,1,1,0,1598.0,50000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2016.0,1,0,0,1395.0,33983.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2016.0,1,1,0,1600.0,52250.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2017.0,1,0,0,2000.0,65605.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2017.0,1,0,1,1197.0,43000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2017.0,1,1,0,1598.0,58000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2017.0,0,1,0,1500.0,50000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2018.0,1,1,0,1000.0,61000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2019.0,1,1,0,1000.0,60000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2019.0,1,0,0,1000.0,30000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2019.0,1,1,0,1600.0,31000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2019.0,1,0,0,1600.0,5000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2019.0,1,1,0,1600.0,30000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2019.0,1,1,0,1598.0,40000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2020.0,1,0,1,1197.0,80000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2021.0,1,1,0,1000.0,19245.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2021.0,1,1,0,1000.0,30000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2021.0,1,0,0,1197.0,23000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,2021.0,1,1,0,1000.0,19000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2021.0,1,1,0,999.0,19000.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2021.0,1,1,0,1000.0,6200.0,False,False,False,False,False,True,False,False,True,False,False,False,False
1.0,2021.0,1,0,0,1197.0,38500.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2021.0,1,0,0,1000.0,5000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1.0,2021.0,1,1,0,999.0,10500.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,1973.0,1,1,0,1166.0,90567.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,1982.0,1,1,0,1290.0,89000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,1990.0,0,1,1,3500.0,215000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1991.0,1,1,0,1498.0,100000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,1991.0,0,1,1,3500.0,100000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1991.0,0,1,1,3500.0,100000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1992.0,0,1,1,3000.0,200000.0,False,False,False,False,False,False,False,True,False,True,False,False,False
1.0,1993.0,1,1,0,1330.0,70000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,1993.0,1,1,0,1300.0,100000.0,False,False,False,False,False,False,False,True,True,False,False,False,False
1.0,1994.0,0,1,1,3000.0,215000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1995.0,0,1,1,2000.0,160000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,1996.0,1,1,0,1596.0,55000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,1996.0,1,1,0,1596.0,56000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,1996.0,0,1,1,2800.0,200000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1996.0,1,1,1,4600.0,70000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1997.0,0,1,1,2800.0,200000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1997.0,0,1,1,2800.0,100000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,1998.0,0,1,1,2800.0,128400.0,False,False,False,False,False,False,False,True,False,True,False,False,False
1.0,1999.0,1,1,0,1300.0,80000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2000.0,1,1,0,1300.0,60000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2000.0,1,1,0,1500.0,90000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2001.0,1,1,0,3000.0,80000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2001.0,1,0,1,2500.0,10000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2001.0,1,1,0,1300.0,105000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2002.0,1,1,0,1500.0,79000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2002.0,1,1,0,2498.0,80000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2002.0,0,1,1,3000.0,168000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2002.0,0,1,1,4200.0,79000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2002.0,0,1,1,3000.0,100000.0,False,False,False,False,False,False,False,True,False,True,False,False,False
1.0,2003.0,1,1,0,1500.0,78000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2005.0,0,1,1,2000.0,100000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2005.0,1,0,1,1990.0,86000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2006.0,1,1,0,1499.0,77000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2006.0,1,1,0,1500.0,68000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2006.0,0,1,1,2982.0,111111.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2007.0,1,1,0,2362.0,95000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2007.0,1,1,0,1198.0,124000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2007.0,1,1,0,1299.0,49000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2007.0,1,1,0,1248.0,68000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2007.0,1,1,0,1495.0,75500.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2007.0,0,0,1,3000.0,175000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2007.0,0,0,1,3000.0,100000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2007.0,0,0,1,3000.0,99000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2007.0,0,0,1,3000.0,99000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1.0,2007.0,0,1,0,2985.0,255000.0,False,False,False,False,False,False,False,True,False,False,False,False,True
1.0,2007.0,1,1,0,1300.0,85000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
1.0,2007.0,1,1,0,1300.0,78000.0,False,False,False,False,False,False,False,True,True,False,False,False,False
1.0,2007.0,1,1,1,2362.0,95000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
